id;course_name;valid_from;valid_to;image_path;video_url;course_description;course_objective;url_1;url_2;url_3;quizb_4_course;quiza_4_course;course_status;recommended_status;subscription_id;created_by;institute_id;creation_date
1;Outdoors Money Market Account;2021-08-14T06:02:17;2021-08-14T14:43:17;Savings Account USB Salad;Credit Card Account;Ukraine Program Hat;Bermudian Dollar (customarily known as Bermuda Dollar) generate;Mississippi Handcrafted Books;1080p;disintermediate Public-key robust;Global bifurcated impactful;Security Front-line driver;ACTIVE;RECOMMENDED;27178;Licensed Wooden Chicken;77917;2021-08-14T10:32:41
2;Maryland back up;2021-08-14T07:04:43;2021-08-14T11:41:23;Lead;portals bandwidth mindshare;wireless ADP embrace;Home redundant Refined Concrete Hat;Sausages Comoros;Advanced Direct Future;New Jersey Technician;Michigan intermediate Cambridgeshire;Kansas Court schemas;INACTIVE;ACTIVE;61909;Cheese discrete Infrastructure;99135;2021-08-15T02:39:48
3;concept;2021-08-14T05:43:47;2021-08-14T12:29:31;multi-state;transmitting;Fresh web-readiness Awesome Frozen Hat;National;Missouri Borders Licensed;Argentine Peso Awesome Rubber Pants;Licensed optical Director;Avon;Uganda Books;ACTIVE;RECOMMENDED;58662;synthesize FTP;49421;2021-08-14T13:07:44
4;Forks user-centric;2021-08-14T10:29:38;2021-08-15T01:29:06;Auto Loan Account;access;index Avon Credit Card Account;Aruba payment copy;Analyst Enterprise-wide generating;invoice Analyst;withdrawal Bacon Money Market Account;orchid HDD;Data;ACTIVE;ACTIVE;10892;open-source;25965;2021-08-14T08:34:30
5;Computer Rustic 5th generation;2021-08-14T07:59:16;2021-08-15T02:22:09;Wisconsin indigo;Movies;Run Refined Frozen Cheese bricks-and-clicks;platforms haptic Division;initiatives Program Haiti;Money Market Account Rubber Home Loan Account;bandwidth feed;Kids orchestrate Designer;Canadian Dollar Forward discrete;ACTIVE;RECOMMENDED;83787;withdrawal;35546;2021-08-15T00:21:34
6;cross-platform haptic;2021-08-14T09:20:58;2021-08-14T05:04:53;contingency eyeballs port;Frozen Handmade Rubber Bacon;Rubber Intelligent;Investor open-source Auto Loan Account;Investment Account Towels;networks Berkshire;Handcrafted application;architecture content-based Berkshire;Movies Electronics;INACTIVE;RECOMMENDED;50390;Personal Loan Account Avon back-end;61128;2021-08-15T04:42:41
7;Configurable;2021-08-14T10:53:47;2021-08-14T23:40:47;South Carolina;open architecture;Checking Account Car olive;Rufiyaa Car high-level;CFA Franc BCEAO Tokelau;Metal;Outdoors Administrator;Malagasy Ariary;Burkina Faso neural-net Practical;ACTIVE;RECOMMENDED;87784;bluetooth XML Home Loan Account;31461;2021-08-15T04:01:45
8;Investor;2021-08-14T09:52:52;2021-08-14T11:12:49;schemas;heuristic Texas;Applications Fiji;port Sleek Fresh Bike;Nebraska Czech Koruna users;Borders;Virginia;Metrics Security Toys;seize PCI EXE;ACTIVE;RECOMMENDED;37360;Solutions Fantastic;10205;2021-08-14T19:43:20
9;California Ergonomic Metal Tuna Granite;2021-08-14T21:13:46;2021-08-14T05:19:18;users deliverables;Trinidad and Tobago Dollar programming;static Health Guernsey;zero defect Concrete;Intelligent Metal Keyboard;Slovakia (Slovak Republic);deliverables Zimbabwe Dollar;Syrian Pound Integration Markets;Direct vortals;ACTIVE;RECOMMENDED;29732;integrate Sausages cross-platform;63897;2021-08-14T23:55:24
10;azure Licensed Wooden Tuna;2021-08-14T21:28:30;2021-08-14T22:26:45;Business-focused;Cambridgeshire;Albania Savings Account;application;Rustic;multi-byte fuchsia withdrawal;teal;New Taiwan Dollar port Bypass;France Run invoice;INACTIVE;ACTIVE;78680;Group program;90463;2021-08-15T02:32:45
