id;institution_address;institution_description;institution_email;institution_logo;institution_misc;institution_name;institution_no_of_students;institution_phonenumber;institution_secondaryemail;institution_url;institution_url_1;institution_url_2;institution_video;institution_website
1;XSS;Baby Alabama Hat;pink Avon;matrices;Road programming;Locks Planner;31061;XML brand;Table compress;Practical;alliance PCI;South Carolina Vision-oriented;Borders Down-sized;coherent
2;communities systems Chicken;Codes specifically reserved for testing purposes Towels;Gloves heuristic;Parks;Borders;connecting;5221;card scalable;Bahamas SCSI even-keeled;Granite Polarised invoice;Concrete;Interactions Faroe Islands;deposit;reboot
3;matrix Chief e-enable;Avon;service-desk Sports;Michigan;HDD Table Granite;Steel Engineer;41799;core;Security Sleek radical;deposit parse;Platinum Steel Persevering;withdrawal;non-volatile Vermont Officer;virtual Investor Metrics
4;Specialist Gorgeous synergistic;syndicate Bedfordshire connecting;interface e-business Bedfordshire;Sports;circuit navigate;Borders;74045;National;Delaware;adapter Ergonomic bypassing;Fish Soft Technician;multi-byte e-business;Dynamic eyeballs;Bedfordshire parse SMTP
5;Metal;best-of-breed Beauty Tools;monitor European Monetary Unit (E.M.U.-6) Versatile;Small Plastic Chair orange Money Market Account;SMS Pataca COM;markets;97531;Operations Specialist;Kwanza;Regional;Gorgeous;Solomon Islands Dollar ADP;quantify Assimilated;action-items
6;Tasty Chicken;aggregate dynamic ivory;Roads Seamless Future;Internal;Avon;cross-platform;74787;olive Mississippi;uniform;Hawaii;New York;olive blue Garden;aggregate Operations;New Jersey Baby
7;Malagasy Ariary Idaho Georgia;Movies Pants;Belarus;override;repurpose backing up quantify;Kids;91877;optical Small Frozen Salad violet;Ways;calculating;copy Bridge;Electronics;orange Fish;Avon
8;networks;5th generation olive;application methodologies Forward;architecture Chips;Handcrafted Concrete Cheese Unbranded Wooden Sausages Chair;Health;48799;red Investor;Executive Handcrafted Steel Mouse;Hat;virtual Assurance;Credit Card Account Division Automotive;Pines Chips;Savings Account models
9;payment;Configuration Technician Agent;Implementation;Yen index Naira;Texas;Ball;11790;Tala;transmitter quantify;Human;Bahraini Dinar;interface Fiji efficient;Auto Loan Account;Practical Wooden Tuna Games
10;Shirt Incredible Fresh Cheese copying;best-of-breed;Ergonomic;approach Idaho;IB deposit deposit;Home;58516;Chilean Peso Unidades de fomento;invoice Massachusetts turn-key;Springs Cotton Administrator;Outdoors Bacon Islands;Chips;Bedfordshire Savings Account;haptic Planner blue
