id;course_id;user_id;subscription_type;subscription_status;subscription_startdate;subscription_enddate;payment_status;subscription_date;type;block_subscription
1;81366;connecting maroon;Crossroad Generic reintermediate;Computers;2021-08-15T04:45:23;2021-08-14T22:07:52;backing up Soft mesh;2021-08-14T16:27:20;Incredible;NO
2;95223;Investment Account Plaza;deliver mobile;Fantastic Soft Hat Green Road;2021-08-14T19:06:24;2021-08-14T22:47:41;1080p multi-tasking Internal;2021-08-15T03:27:59;whiteboard;NO
3;38590;Cayman Islands Dollar content-based;scale Idaho Re-engineered;quantifying Papua New Guinea Synergistic;2021-08-15T02:39:00;2021-08-14T10:03:27;Bedfordshire Awesome Frozen Hat;2021-08-14T18:18:54;Plastic;NO
4;52626;Home Loan Account payment;panel multi-byte Route;yellow;2021-08-14T08:19:10;2021-08-14T21:36:22;index Turkmenistan Borders;2021-08-14T05:07:42;Soap Digitized;NO
5;58087;hard drive;visionary;Corporate;2021-08-14T20:06:28;2021-08-14T21:41:25;Licensed;2021-08-14T22:56:57;architectures Synergistic Chief;YES
6;68441;Internal fuchsia;JSON optical Hills;multi-state Avon;2021-08-14T15:27:28;2021-08-14T22:39:45;payment Regional connecting;2021-08-15T04:32:16;Cotton Unbranded Bulgaria;YES
7;26903;Investment Account;calculate Radial Refined Frozen Mouse;rich Metal deposit;2021-08-15T03:13:06;2021-08-14T20:21:04;New Mexico Generic Fresh Fish;2021-08-15T03:02:28;pink SCSI;YES
8;99001;South Dakota compress Borders;programming Chicken;SDD Toys;2021-08-14T07:38:33;2021-08-14T11:03:54;dedicated bypassing;2021-08-14T17:04:50;structure indexing;YES
9;13431;Arizona Uganda Shilling program;sky blue Awesome Plastic Salad;microchip payment;2021-08-14T11:11:13;2021-08-14T18:51:53;District;2021-08-14T09:23:11;array;YES
10;57522;transmit;Intelligent Avon hacking;multi-byte Dynamic Maine;2021-08-15T03:38:23;2021-08-14T16:06:18;circuit RAM;2021-08-14T17:17:17;Harbors;NO
